"2023-05-10 00:19:56,592 [INFO] Reporter Initialized!
"2023-05-10 00:19:56,593 [INFO] Reporter LEVEL: info
"2023-05-10 00:19:56,595 [INFO] Usung random data
"2023-05-10 00:19:56,717 [INFO] None
"2023-05-10 00:19:56,717 [INFO] Device(cpu) is working for train
"2023-05-10 00:19:56,718 [INFO] Train Started
"2023-05-10 00:19:57,590 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/0.onnx
"2023-05-10 00:19:57,591 [INFO] ===== Saved non-trained network
"2023-05-10 00:20:11,878 [INFO] EPISODE 410, LOSS 0.14370429515838623
"2023-05-10 00:20:12,160 [INFO] EPISODE 420, LOSS 0.21413351595401764
"2023-05-10 00:20:12,432 [INFO] EPISODE 430, LOSS 0.16187772154808044
"2023-05-10 00:20:12,699 [INFO] EPISODE 440, LOSS 0.20630507171154022
"2023-05-10 00:20:13,055 [INFO] EPISODE 450, LOSS 0.2740352153778076
"2023-05-10 00:20:13,308 [INFO] EPISODE 460, LOSS 0.15401048958301544
"2023-05-10 00:20:13,556 [INFO] EPISODE 470, LOSS 0.10770709067583084
"2023-05-10 00:20:13,819 [INFO] EPISODE 480, LOSS 0.20779912173748016
"2023-05-10 00:20:14,072 [INFO] EPISODE 490, LOSS 0.24918270111083984
"2023-05-10 00:20:14,330 [INFO] EPISODE 500, LOSS 0.16340334713459015
"2023-05-10 00:20:14,582 [INFO] EPISODE 510, LOSS 0.2674170732498169
"2023-05-10 00:20:14,846 [INFO] EPISODE 520, LOSS 0.2595059871673584
"2023-05-10 00:20:15,098 [INFO] EPISODE 530, LOSS 0.2037745863199234
"2023-05-10 00:20:15,359 [INFO] EPISODE 540, LOSS 0.1614501029253006
"2023-05-10 00:20:15,623 [INFO] EPISODE 550, LOSS 0.21809422969818115
"2023-05-10 00:20:15,877 [INFO] EPISODE 560, LOSS 0.2989942133426666
"2023-05-10 00:20:16,133 [INFO] EPISODE 570, LOSS 0.06963204592466354
"2023-05-10 00:20:16,384 [INFO] EPISODE 580, LOSS 0.1521858274936676
"2023-05-10 00:20:16,645 [INFO] EPISODE 590, LOSS 0.081511490046978
"2023-05-10 00:20:16,900 [INFO] EPISODE 600, LOSS 0.1188308373093605
