"2023-05-08 15:39:47,303 [INFO] Reporter Initialized!
"2023-05-08 15:39:47,303 [INFO] Reporter LEVEL: info
"2023-05-08 15:39:47,687 [INFO] Loaded csv data is 0507_0746PM
"2023-05-08 15:39:49,171 [INFO] None
"2023-05-08 15:39:49,171 [INFO] Device(cuda) is working for train
"2023-05-08 15:39:49,171 [INFO] Train Started
"2023-05-08 15:40:36,377 [INFO] EPISODE 580, LOSS 2.098313331604004
"2023-05-08 15:40:37,177 [INFO] EPISODE 590, LOSS 1.5603816509246826
"2023-05-08 15:40:37,539 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/594.onnx
"2023-05-08 15:40:37,977 [INFO] EPISODE 600, LOSS 0.2925548851490021
"2023-05-08 15:40:38,789 [INFO] EPISODE 610, LOSS 0.6667789816856384
"2023-05-08 15:40:39,599 [INFO] EPISODE 620, LOSS 0.982613742351532
"2023-05-08 15:40:40,405 [INFO] EPISODE 630, LOSS 1.073826789855957
"2023-05-08 15:40:41,233 [INFO] EPISODE 640, LOSS 0.563574492931366
"2023-05-08 15:40:42,057 [INFO] EPISODE 650, LOSS 3.772782802581787
"2023-05-08 15:40:42,827 [INFO] EPISODE 660, LOSS 0.9976314902305603
"2023-05-08 15:40:43,671 [INFO] EPISODE 670, LOSS 0.36594638228416443
"2023-05-08 15:40:44,450 [INFO] EPISODE 680, LOSS 0.3575614392757416
"2023-05-08 15:40:45,226 [INFO] EPISODE 690, LOSS 1.4293670654296875
"2023-05-08 15:40:45,992 [INFO] EPISODE 700, LOSS 0.7024946212768555
"2023-05-08 15:40:46,803 [INFO] EPISODE 710, LOSS 0.5717191696166992
"2023-05-08 15:40:47,596 [INFO] EPISODE 720, LOSS 1.60374116897583
"2023-05-08 15:40:48,408 [INFO] EPISODE 730, LOSS 0.39476847648620605
"2023-05-08 15:40:49,203 [INFO] EPISODE 740, LOSS 0.4580845236778259
"2023-05-08 15:40:49,997 [INFO] EPISODE 750, LOSS 0.2969624996185303
"2023-05-08 15:40:50,789 [INFO] EPISODE 760, LOSS 3.2375965118408203
"2023-05-08 15:40:51,592 [INFO] EPISODE 770, LOSS 4.683258056640625
"2023-05-08 15:40:52,399 [INFO] EPISODE 780, LOSS 5.387139320373535
"2023-05-08 15:40:53,178 [INFO] EPISODE 790, LOSS 1.1212196350097656
"2023-05-08 15:40:54,000 [INFO] EPISODE 800, LOSS 0.5080146789550781
"2023-05-08 15:40:54,838 [INFO] EPISODE 810, LOSS 0.9284830093383789
"2023-05-08 15:40:55,646 [INFO] EPISODE 820, LOSS 0.6528363227844238
"2023-05-08 15:40:56,476 [INFO] EPISODE 830, LOSS 2.9902753829956055
"2023-05-08 15:40:57,366 [INFO] EPISODE 840, LOSS 1.5211822986602783
"2023-05-08 15:40:58,210 [INFO] EPISODE 850, LOSS 1.4479680061340332
"2023-05-08 15:40:59,043 [INFO] EPISODE 860, LOSS 0.44218334555625916
