"2023-05-10 14:38:18,556 [INFO] Reporter Initialized!
"2023-05-10 14:38:18,557 [INFO] Reporter LEVEL: info
"2023-05-10 14:38:18,557 [INFO] Usung random data
"2023-05-10 14:38:19,764 [INFO] None
"2023-05-10 14:38:19,764 [INFO] Device(cuda) is working for train
"2023-05-10 14:38:19,764 [INFO] Train Started
"2023-05-10 14:38:19,784 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/0.onnx
"2023-05-10 14:38:19,784 [INFO] ===== Saved non-trained network
"2023-05-10 14:38:25,885 [INFO] EPISODE 410, LOSS 0.09948126971721649
"2023-05-10 14:38:26,024 [INFO] EPISODE 420, LOSS 0.21861164271831512
"2023-05-10 14:38:26,160 [INFO] EPISODE 430, LOSS 0.1897081434726715
"2023-05-10 14:38:26,292 [INFO] EPISODE 440, LOSS 0.1627635657787323
"2023-05-10 14:38:26,422 [INFO] EPISODE 450, LOSS 0.14608067274093628
"2023-05-10 14:38:26,554 [INFO] EPISODE 460, LOSS 0.14993959665298462
"2023-05-10 14:38:26,688 [INFO] EPISODE 470, LOSS 0.14618027210235596
"2023-05-10 14:38:26,822 [INFO] EPISODE 480, LOSS 0.2403983771800995
"2023-05-10 14:38:26,952 [INFO] EPISODE 490, LOSS 0.20527490973472595
"2023-05-10 14:38:27,106 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/500.onnx
"2023-05-10 14:38:27,106 [INFO] EPISODE 500, LOSS 0.14705416560173035
"2023-05-10 14:38:27,252 [INFO] EPISODE 510, LOSS 0.23512208461761475
"2023-05-10 14:38:27,392 [INFO] EPISODE 520, LOSS 0.1654835045337677
"2023-05-10 14:38:27,528 [INFO] EPISODE 530, LOSS 0.1506543755531311
"2023-05-10 14:38:27,666 [INFO] EPISODE 540, LOSS 0.12262463569641113
"2023-05-10 14:38:27,814 [INFO] EPISODE 550, LOSS 0.08242793381214142
"2023-05-10 14:38:27,955 [INFO] EPISODE 560, LOSS 0.22211408615112305
"2023-05-10 14:38:28,096 [INFO] EPISODE 570, LOSS 0.11779022216796875
"2023-05-10 14:38:28,238 [INFO] EPISODE 580, LOSS 0.252808541059494
"2023-05-10 14:38:28,380 [INFO] EPISODE 590, LOSS 0.22228404879570007
"2023-05-10 14:38:28,519 [INFO] EPISODE 600, LOSS 0.17703664302825928
"2023-05-10 14:38:28,710 [INFO] EPISODE 610, LOSS 0.23814146220684052
"2023-05-10 14:38:28,854 [INFO] EPISODE 620, LOSS 0.11811971664428711
"2023-05-10 14:38:28,996 [INFO] EPISODE 630, LOSS 0.28881168365478516
"2023-05-10 14:38:29,140 [INFO] EPISODE 640, LOSS 0.11170130223035812
"2023-05-10 14:38:29,286 [INFO] EPISODE 650, LOSS 0.2287694662809372
"2023-05-10 14:38:29,435 [INFO] EPISODE 660, LOSS 0.12694667279720306
"2023-05-10 14:38:29,566 [INFO] EPISODE 670, LOSS 0.0813804566860199
"2023-05-10 14:38:29,710 [INFO] EPISODE 680, LOSS 0.16666430234909058
"2023-05-10 14:38:29,849 [INFO] EPISODE 690, LOSS 0.1408475637435913
"2023-05-10 14:38:29,990 [INFO] EPISODE 700, LOSS 0.24256953597068787
"2023-05-10 14:38:30,128 [INFO] EPISODE 710, LOSS 0.1740189492702484
"2023-05-10 14:38:30,274 [INFO] EPISODE 720, LOSS 0.3023407459259033
"2023-05-10 14:38:30,418 [INFO] EPISODE 730, LOSS 0.0933423861861229
"2023-05-10 14:38:30,570 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/740.onnx
"2023-05-10 14:38:30,570 [INFO] EPISODE 740, LOSS 0.06843133270740509
"2023-05-10 14:38:30,709 [INFO] EPISODE 750, LOSS 0.07376804947853088
"2023-05-10 14:38:30,836 [INFO] EPISODE 760, LOSS 0.2683562934398651
"2023-05-10 14:38:30,972 [INFO] EPISODE 770, LOSS 0.19712504744529724
"2023-05-10 14:38:31,120 [INFO] EPISODE 780, LOSS 0.3972419500350952
"2023-05-10 14:38:31,254 [INFO] EPISODE 790, LOSS 0.19095289707183838
"2023-05-10 14:38:31,399 [INFO] EPISODE 800, LOSS 0.14099332690238953
"2023-05-10 14:38:31,541 [INFO] EPISODE 810, LOSS 0.22309619188308716
"2023-05-10 14:38:31,736 [INFO] EPISODE 820, LOSS 0.20792719721794128
"2023-05-10 14:38:31,873 [INFO] EPISODE 830, LOSS 0.18414661288261414
"2023-05-10 14:38:32,012 [INFO] EPISODE 840, LOSS 0.3591223359107971
"2023-05-10 14:38:32,155 [INFO] EPISODE 850, LOSS 0.06996797770261765
"2023-05-10 14:38:32,293 [INFO] EPISODE 860, LOSS 0.20255713164806366
"2023-05-10 14:38:32,436 [INFO] EPISODE 870, LOSS 0.13881105184555054
"2023-05-10 14:38:32,574 [INFO] EPISODE 880, LOSS 0.17826220393180847
"2023-05-10 14:38:32,665 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/883.onnx
"2023-05-10 14:38:32,728 [INFO] EPISODE 890, LOSS 0.22315524518489838
"2023-05-10 14:38:32,863 [INFO] EPISODE 900, LOSS 0.1747838854789734
"2023-05-10 14:38:32,995 [INFO] EPISODE 910, LOSS 0.18386928737163544
"2023-05-10 14:38:33,140 [INFO] EPISODE 920, LOSS 0.21339325606822968
"2023-05-10 14:38:33,275 [INFO] EPISODE 930, LOSS 0.10953377187252045
