"2023-05-07 19:52:38,262 [INFO] Reporter Initialized!
"2023-05-07 19:52:38,262 [INFO] Reporter LEVEL: info
"2023-05-07 19:52:38,647 [INFO] Loaded csv data is 0507_0746PM
"2023-05-07 19:52:40,440 [INFO] None
"2023-05-07 19:52:40,440 [INFO] Device(cuda) is working for train
"2023-05-07 19:52:40,449 [INFO] Train Started
"2023-05-07 19:52:40,472 [INFO] ===== ONNX SAVED at ./savemodel/0507_0752PM/0.onnx
"2023-05-07 19:52:40,472 [INFO] ===== Saved non-trained network
"2023-05-07 19:52:40,472 [INFO] EPISODE 0, LOSS 4835.580078125
"2023-05-07 19:52:40,841 [INFO] ===== ONNX SAVED at ./savemodel/0507_0752PM/3.onnx
"2023-05-07 19:52:41,048 [INFO] ===== ONNX SAVED at ./savemodel/0507_0752PM/6.onnx
"2023-05-07 19:52:41,294 [INFO] EPISODE 10, LOSS 1485.3486328125
"2023-05-07 19:52:41,922 [INFO] EPISODE 20, LOSS 1981.1953125
"2023-05-07 19:52:42,511 [INFO] EPISODE 30, LOSS 3192.2802734375
"2023-05-07 19:52:43,152 [INFO] EPISODE 40, LOSS 3954.00390625
"2023-05-07 19:52:43,769 [INFO] EPISODE 50, LOSS 2485.0419921875
"2023-05-07 19:52:43,869 [INFO] ===== ONNX SAVED at ./savemodel/0507_0752PM/51.onnx
"2023-05-07 19:52:44,400 [INFO] EPISODE 60, LOSS 1188.95361328125
"2023-05-07 19:52:44,720 [INFO] ===== ONNX SAVED at ./savemodel/0507_0752PM/64.onnx
"2023-05-07 19:52:45,075 [INFO] EPISODE 70, LOSS 2486.334716796875
"2023-05-07 19:52:45,759 [INFO] EPISODE 80, LOSS 1852.983154296875
"2023-05-07 19:52:46,157 [INFO] ===== ONNX SAVED at ./savemodel/0507_0752PM/86.onnx
"2023-05-07 19:52:46,405 [INFO] EPISODE 90, LOSS 3301.061279296875
"2023-05-07 19:52:47,035 [INFO] EPISODE 100, LOSS 1348.484375
"2023-05-07 19:52:47,147 [INFO] ===== ONNX SAVED at ./savemodel/0507_0752PM/101.onnx
"2023-05-07 19:52:47,679 [INFO] EPISODE 110, LOSS 1463.425537109375
"2023-05-07 19:52:48,299 [INFO] EPISODE 120, LOSS 4251.8935546875
"2023-05-07 19:52:48,976 [INFO] EPISODE 130, LOSS 2794.901123046875
"2023-05-07 19:52:49,588 [INFO] EPISODE 140, LOSS 3646.99755859375
"2023-05-07 19:52:50,221 [INFO] EPISODE 150, LOSS 1981.9173583984375
"2023-05-07 19:52:50,916 [INFO] EPISODE 160, LOSS 2982.507568359375
"2023-05-07 19:52:51,493 [INFO] EPISODE 170, LOSS 2462.792236328125
"2023-05-07 19:52:52,150 [INFO] EPISODE 180, LOSS 5907.75927734375
"2023-05-07 19:52:52,752 [INFO] EPISODE 190, LOSS 2355.39697265625
"2023-05-07 19:52:53,365 [INFO] EPISODE 200, LOSS 3836.606201171875
"2023-05-07 19:52:53,953 [INFO] EPISODE 210, LOSS 1937.506591796875
"2023-05-07 19:52:54,566 [INFO] EPISODE 220, LOSS 2672.72705078125
"2023-05-07 19:52:55,175 [INFO] EPISODE 230, LOSS 1820.8138427734375
"2023-05-07 19:52:55,563 [INFO] ===== ONNX SAVED at ./savemodel/0507_0752PM/235.onnx
"2023-05-07 19:52:55,852 [INFO] EPISODE 240, LOSS 2836.552734375
"2023-05-07 19:52:56,436 [INFO] EPISODE 250, LOSS 3715.517578125
"2023-05-07 19:52:57,030 [INFO] EPISODE 260, LOSS 2447.6435546875
"2023-05-07 19:52:57,715 [INFO] EPISODE 270, LOSS 1961.6614990234375
"2023-05-07 19:52:58,223 [INFO] ===== ONNX SAVED at ./savemodel/0507_0752PM/278.onnx
"2023-05-07 19:52:58,340 [INFO] EPISODE 280, LOSS 4560.55615234375
"2023-05-07 19:52:58,999 [INFO] EPISODE 290, LOSS 3468.80322265625
"2023-05-07 19:52:59,693 [INFO] EPISODE 300, LOSS 2212.72021484375
"2023-05-07 19:53:00,319 [INFO] EPISODE 310, LOSS 2044.478271484375
"2023-05-07 19:53:01,000 [INFO] EPISODE 320, LOSS 2759.219482421875
"2023-05-07 19:53:01,633 [INFO] EPISODE 330, LOSS 1811.6624755859375
"2023-05-07 19:53:02,296 [INFO] EPISODE 340, LOSS 1760.535400390625
"2023-05-07 19:53:02,937 [INFO] EPISODE 350, LOSS 1932.0364990234375
"2023-05-07 19:53:03,552 [INFO] EPISODE 360, LOSS 3727.4931640625
"2023-05-07 19:53:04,203 [INFO] EPISODE 370, LOSS 2496.69189453125
"2023-05-07 19:53:04,849 [INFO] EPISODE 380, LOSS 2045.7919921875
"2023-05-07 19:53:05,493 [INFO] EPISODE 390, LOSS 2601.90673828125
"2023-05-07 19:53:06,120 [INFO] EPISODE 400, LOSS 1857.78515625
"2023-05-07 19:53:06,739 [INFO] EPISODE 410, LOSS 53756.2109375
