"2023-05-04 21:10:55,529 [INFO] Reporter Initialized!
"2023-05-04 21:10:55,529 [INFO] Reporter LEVEL: info
"2023-05-04 21:10:57,349 [INFO] Loaded csv data is 0504_0300PM
"2023-05-04 21:10:58,388 [INFO] None
"2023-05-04 21:10:58,389 [INFO] Device(cuda) is working for train
"2023-05-04 21:10:58,389 [INFO] Train Started
"2023-05-04 21:10:58,404 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/0.onnx
"2023-05-04 21:10:58,404 [INFO] ===== Saved non-trained network
"2023-05-04 21:11:15,075 [INFO] EPISODE 510, LOSS 0.037857431918382645
"2023-05-04 21:11:15,395 [INFO] EPISODE 520, LOSS 0.026417214423418045
"2023-05-04 21:11:15,679 [INFO] EPISODE 530, LOSS 0.022445103153586388
"2023-05-04 21:11:15,971 [INFO] EPISODE 540, LOSS 0.03579659387469292
"2023-05-04 21:11:16,184 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/547.onnx
"2023-05-04 21:11:16,312 [INFO] EPISODE 550, LOSS 0.025038769468665123
"2023-05-04 21:11:16,425 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/553.onnx
"2023-05-04 21:11:16,608 [INFO] EPISODE 560, LOSS 0.012431424111127853
"2023-05-04 21:11:16,893 [INFO] EPISODE 570, LOSS 0.011851525865495205
"2023-05-04 21:11:17,180 [INFO] EPISODE 580, LOSS 0.01364772580564022
"2023-05-04 21:11:17,549 [INFO] EPISODE 590, LOSS 0.007053281180560589
"2023-05-04 21:11:17,830 [INFO] EPISODE 600, LOSS 0.04202883690595627
"2023-05-04 21:11:18,110 [INFO] EPISODE 610, LOSS 0.012357968837022781
"2023-05-04 21:11:18,431 [INFO] EPISODE 620, LOSS 0.01615745946764946
"2023-05-04 21:11:18,714 [INFO] EPISODE 630, LOSS 0.004692093934863806
"2023-05-04 21:11:19,002 [INFO] EPISODE 640, LOSS 0.005543941166251898
"2023-05-04 21:11:19,283 [INFO] EPISODE 650, LOSS 0.031007787212729454
"2023-05-04 21:11:19,602 [INFO] EPISODE 660, LOSS 0.007520328275859356
"2023-05-04 21:11:19,893 [INFO] EPISODE 670, LOSS 0.03265899792313576
"2023-05-04 21:11:20,184 [INFO] EPISODE 680, LOSS 0.0021067436318844557
"2023-05-04 21:11:20,470 [INFO] EPISODE 690, LOSS 0.009536173194646835
"2023-05-04 21:11:20,769 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/699.onnx
"2023-05-04 21:11:20,796 [INFO] EPISODE 700, LOSS 0.0038422527723014355
"2023-05-04 21:11:21,082 [INFO] EPISODE 710, LOSS 0.015324871987104416
"2023-05-04 21:11:21,372 [INFO] EPISODE 720, LOSS 0.00763315474614501
"2023-05-04 21:11:21,677 [INFO] EPISODE 730, LOSS 0.008137727156281471
"2023-05-04 21:11:21,960 [INFO] EPISODE 740, LOSS 0.012943308800458908
"2023-05-04 21:11:22,245 [INFO] EPISODE 750, LOSS 0.00698261521756649
"2023-05-04 21:11:22,530 [INFO] EPISODE 760, LOSS 0.007384147495031357
"2023-05-04 21:11:22,878 [INFO] EPISODE 770, LOSS 0.006032669451087713
"2023-05-04 21:11:23,178 [INFO] EPISODE 780, LOSS 0.029363518580794334
"2023-05-04 21:11:23,467 [INFO] EPISODE 790, LOSS 0.00565730594098568
"2023-05-04 21:11:23,789 [INFO] EPISODE 800, LOSS 0.009613977745175362
"2023-05-04 21:11:24,132 [INFO] EPISODE 810, LOSS 0.007247428875416517
"2023-05-04 21:11:24,426 [INFO] EPISODE 820, LOSS 0.009717972949147224
"2023-05-04 21:11:24,815 [INFO] EPISODE 830, LOSS 0.002633201889693737
"2023-05-04 21:11:25,177 [INFO] EPISODE 840, LOSS 0.001482562511228025
"2023-05-04 21:11:25,516 [INFO] EPISODE 850, LOSS 0.005063225515186787
"2023-05-04 21:11:25,881 [INFO] EPISODE 860, LOSS 0.0046319859102368355
"2023-05-04 21:11:26,217 [INFO] EPISODE 870, LOSS 0.020717797800898552
"2023-05-04 21:11:26,554 [INFO] EPISODE 880, LOSS 0.03358875960111618
"2023-05-04 21:11:26,909 [INFO] EPISODE 890, LOSS 0.024329109117388725
"2023-05-04 21:11:27,246 [INFO] EPISODE 900, LOSS 0.004028821364045143
"2023-05-04 21:11:27,582 [INFO] EPISODE 910, LOSS 0.012568245641887188
"2023-05-04 21:11:27,967 [INFO] EPISODE 920, LOSS 0.020002640783786774
"2023-05-04 21:11:28,309 [INFO] EPISODE 930, LOSS 0.006877835839986801
"2023-05-04 21:11:28,642 [INFO] EPISODE 940, LOSS 0.004188803490251303
"2023-05-04 21:11:28,983 [INFO] EPISODE 950, LOSS 0.009761875495314598
"2023-05-04 21:11:29,333 [INFO] EPISODE 960, LOSS 0.012421322986483574
"2023-05-04 21:11:29,676 [INFO] EPISODE 970, LOSS 0.006063668057322502
"2023-05-04 21:11:30,054 [INFO] EPISODE 980, LOSS 0.0045869918540120125
"2023-05-04 21:11:30,394 [INFO] EPISODE 990, LOSS 0.0036069094203412533
"2023-05-04 21:11:30,741 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/1000.onnx
"2023-05-04 21:11:30,741 [INFO] EPISODE 1000, LOSS 0.004998349118977785
"2023-05-04 21:11:31,079 [INFO] EPISODE 1010, LOSS 0.005788163747638464
"2023-05-04 21:11:31,463 [INFO] EPISODE 1020, LOSS 0.008673418313264847
"2023-05-04 21:11:31,817 [INFO] EPISODE 1030, LOSS 0.0049258265644311905
"2023-05-04 21:11:32,250 [INFO] EPISODE 1040, LOSS 0.005432148929685354
"2023-05-04 21:11:32,591 [INFO] EPISODE 1050, LOSS 0.003910299390554428
"2023-05-04 21:11:32,930 [INFO] EPISODE 1060, LOSS 0.01801415905356407
"2023-05-04 21:11:33,290 [INFO] EPISODE 1070, LOSS 0.015106159262359142
"2023-05-04 21:11:33,637 [INFO] EPISODE 1080, LOSS 0.005508435424417257
"2023-05-04 21:11:33,984 [INFO] EPISODE 1090, LOSS 0.0009853726951405406
"2023-05-04 21:11:34,341 [INFO] EPISODE 1100, LOSS 0.02316739782691002
"2023-05-04 21:11:34,684 [INFO] EPISODE 1110, LOSS 0.007153991609811783
"2023-05-04 21:11:35,029 [INFO] EPISODE 1120, LOSS 0.005721723195165396
"2023-05-04 21:11:35,397 [INFO] EPISODE 1130, LOSS 0.011303139850497246
"2023-05-04 21:11:35,738 [INFO] EPISODE 1140, LOSS 0.007015257142484188
"2023-05-04 21:11:36,081 [INFO] EPISODE 1150, LOSS 0.0022881333716213703
"2023-05-04 21:11:36,457 [INFO] EPISODE 1160, LOSS 0.0105053735896945
"2023-05-04 21:11:36,796 [INFO] EPISODE 1170, LOSS 0.0070570893585681915
"2023-05-04 21:11:37,133 [INFO] EPISODE 1180, LOSS 0.0064905015751719475
"2023-05-04 21:11:37,481 [INFO] EPISODE 1190, LOSS 0.005935055203735828
"2023-05-04 21:11:37,821 [INFO] EPISODE 1200, LOSS 0.003410522360354662
"2023-05-04 21:11:38,154 [INFO] EPISODE 1210, LOSS 0.0023678496945649385
"2023-05-04 21:11:38,488 [INFO] EPISODE 1220, LOSS 0.011463701725006104
"2023-05-04 21:11:38,821 [INFO] EPISODE 1230, LOSS 0.00668126717209816
"2023-05-04 21:11:39,110 [INFO] EPISODE 1240, LOSS 0.009254993870854378
"2023-05-04 21:11:39,463 [INFO] EPISODE 1250, LOSS 0.0023447428829967976
"2023-05-04 21:11:39,770 [INFO] EPISODE 1260, LOSS 0.007909972220659256
"2023-05-04 21:11:40,061 [INFO] EPISODE 1270, LOSS 0.0016663878923282027
"2023-05-04 21:11:40,353 [INFO] EPISODE 1280, LOSS 0.013465347699820995
"2023-05-04 21:11:40,642 [INFO] EPISODE 1290, LOSS 0.0040297601372003555
"2023-05-04 21:11:40,938 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/1299.onnx
"2023-05-04 21:11:40,967 [INFO] EPISODE 1300, LOSS 0.004559122491627932
"2023-05-04 21:11:41,257 [INFO] EPISODE 1310, LOSS 0.0076395003125071526
"2023-05-04 21:11:41,551 [INFO] EPISODE 1320, LOSS 0.002203591400757432
"2023-05-04 21:11:41,864 [INFO] EPISODE 1330, LOSS 0.0055591813288629055
