"2023-05-10 15:13:45,712 [INFO] Reporter Initialized!
"2023-05-10 15:13:45,712 [INFO] Reporter LEVEL: info
"2023-05-10 15:13:45,712 [INFO] Usung random data
"2023-05-10 15:13:46,946 [INFO] None
"2023-05-10 15:13:46,946 [INFO] Device(cuda) is working for train
"2023-05-10 15:13:46,946 [INFO] Train Started
"2023-05-10 15:13:52,723 [INFO] EPISODE 380, LOSS 0.1653376817703247
"2023-05-10 15:13:52,866 [INFO] EPISODE 390, LOSS 0.15382207930088043
"2023-05-10 15:13:53,011 [INFO] EPISODE 400, LOSS 0.31395891308784485
"2023-05-10 15:13:53,151 [INFO] EPISODE 410, LOSS 0.09736093878746033
"2023-05-10 15:13:53,280 [INFO] EPISODE 420, LOSS 0.21495220065116882
"2023-05-10 15:13:53,412 [INFO] EPISODE 430, LOSS 0.18618738651275635
"2023-05-10 15:13:53,542 [INFO] EPISODE 440, LOSS 0.1665249615907669
"2023-05-10 15:13:53,676 [INFO] EPISODE 450, LOSS 0.14585962891578674
"2023-05-10 15:13:53,821 [INFO] EPISODE 460, LOSS 0.1272851675748825
"2023-05-10 15:13:53,960 [INFO] EPISODE 470, LOSS 0.17418071627616882
"2023-05-10 15:13:54,096 [INFO] EPISODE 480, LOSS 0.24024546146392822
"2023-05-10 15:13:54,241 [INFO] EPISODE 490, LOSS 0.23413102328777313
"2023-05-10 15:13:54,384 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/500.onnx
"2023-05-10 15:13:54,384 [INFO] EPISODE 500, LOSS 0.15213915705680847
"2023-05-10 15:13:54,523 [INFO] EPISODE 510, LOSS 0.22396767139434814
"2023-05-10 15:13:54,668 [INFO] EPISODE 520, LOSS 0.18592557311058044
"2023-05-10 15:13:54,814 [INFO] EPISODE 530, LOSS 0.11590921133756638
"2023-05-10 15:13:54,955 [INFO] EPISODE 540, LOSS 0.14122851192951202
"2023-05-10 15:13:55,089 [INFO] EPISODE 550, LOSS 0.09500535577535629
"2023-05-10 15:13:55,232 [INFO] EPISODE 560, LOSS 0.2302381694316864
"2023-05-10 15:13:55,373 [INFO] EPISODE 570, LOSS 0.13433007895946503
"2023-05-10 15:13:55,508 [INFO] EPISODE 580, LOSS 0.2687695026397705
"2023-05-10 15:13:55,652 [INFO] EPISODE 590, LOSS 0.16721008718013763
"2023-05-10 15:13:55,788 [INFO] EPISODE 600, LOSS 0.15363214910030365
"2023-05-10 15:13:55,992 [INFO] EPISODE 610, LOSS 0.20597748458385468
"2023-05-10 15:13:56,130 [INFO] EPISODE 620, LOSS 0.12194370478391647
"2023-05-10 15:13:56,265 [INFO] EPISODE 630, LOSS 0.2975132465362549
"2023-05-10 15:13:56,408 [INFO] EPISODE 640, LOSS 0.15819597244262695
"2023-05-10 15:13:56,541 [INFO] EPISODE 650, LOSS 0.1969114989042282
"2023-05-10 15:13:56,683 [INFO] EPISODE 660, LOSS 0.1321953535079956
"2023-05-10 15:13:56,820 [INFO] EPISODE 670, LOSS 0.10904490947723389
"2023-05-10 15:13:56,955 [INFO] EPISODE 680, LOSS 0.18379203975200653
"2023-05-10 15:13:57,092 [INFO] EPISODE 690, LOSS 0.16585741937160492
"2023-05-10 15:13:57,229 [INFO] EPISODE 700, LOSS 0.22345444560050964
"2023-05-10 15:13:57,363 [INFO] EPISODE 710, LOSS 0.16192448139190674
"2023-05-10 15:13:57,497 [INFO] EPISODE 720, LOSS 0.2944249212741852
"2023-05-10 15:13:57,628 [INFO] EPISODE 730, LOSS 0.09265901893377304
"2023-05-10 15:13:57,775 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/740.onnx
"2023-05-10 15:13:57,775 [INFO] EPISODE 740, LOSS 0.06877501308917999
"2023-05-10 15:13:57,921 [INFO] EPISODE 750, LOSS 0.09792473167181015
"2023-05-10 15:13:58,064 [INFO] EPISODE 760, LOSS 0.2592558264732361
"2023-05-10 15:13:58,203 [INFO] EPISODE 770, LOSS 0.18177592754364014
"2023-05-10 15:13:58,347 [INFO] EPISODE 780, LOSS 0.34754475951194763
"2023-05-10 15:13:58,498 [INFO] EPISODE 790, LOSS 0.17624005675315857
"2023-05-10 15:13:58,636 [INFO] EPISODE 800, LOSS 0.13889965415000916
"2023-05-10 15:13:58,775 [INFO] EPISODE 810, LOSS 0.22978053987026215
"2023-05-10 15:13:58,969 [INFO] EPISODE 820, LOSS 0.1827779859304428
"2023-05-10 15:13:59,104 [INFO] EPISODE 830, LOSS 0.1691087931394577
"2023-05-10 15:13:59,242 [INFO] EPISODE 840, LOSS 0.3628345727920532
"2023-05-10 15:13:59,367 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/848.onnx
"2023-05-10 15:13:59,385 [INFO] EPISODE 850, LOSS 0.07165323197841644
"2023-05-10 15:13:59,521 [INFO] EPISODE 860, LOSS 0.1831800639629364
"2023-05-10 15:13:59,651 [INFO] EPISODE 870, LOSS 0.14279428124427795
"2023-05-10 15:13:59,788 [INFO] EPISODE 880, LOSS 0.16919568181037903
"2023-05-10 15:13:59,874 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/883.onnx
"2023-05-10 15:13:59,937 [INFO] EPISODE 890, LOSS 0.24711547791957855
"2023-05-10 15:14:00,069 [INFO] EPISODE 900, LOSS 0.15820205211639404
"2023-05-10 15:14:00,202 [INFO] EPISODE 910, LOSS 0.1748741865158081
"2023-05-10 15:14:00,333 [INFO] EPISODE 920, LOSS 0.20962464809417725
"2023-05-10 15:14:00,464 [INFO] EPISODE 930, LOSS 0.08798524737358093
"2023-05-10 15:14:00,582 [INFO] EPISODE 940, LOSS 0.24785813689231873
"2023-05-10 15:14:00,698 [INFO] EPISODE 950, LOSS 0.0934649109840393
"2023-05-10 15:14:00,813 [INFO] EPISODE 960, LOSS 0.1370943784713745
"2023-05-10 15:14:00,929 [INFO] EPISODE 970, LOSS 0.15360501408576965
"2023-05-10 15:14:01,060 [INFO] EPISODE 980, LOSS 0.26079878211021423
"2023-05-10 15:14:01,192 [INFO] EPISODE 990, LOSS 0.25275784730911255
"2023-05-10 15:14:01,330 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/1000.onnx
"2023-05-10 15:14:01,330 [INFO] EPISODE 1000, LOSS 0.32772037386894226
"2023-05-10 15:14:01,461 [INFO] EPISODE 1010, LOSS 0.12512987852096558
"2023-05-10 15:14:01,597 [INFO] EPISODE 1020, LOSS 0.20136801898479462
"2023-05-10 15:14:01,736 [INFO] EPISODE 1030, LOSS 0.22938451170921326
"2023-05-10 15:14:01,862 [INFO] EPISODE 1040, LOSS 0.13670958578586578
"2023-05-10 15:14:02,054 [INFO] EPISODE 1050, LOSS 0.20520201325416565
"2023-05-10 15:14:02,189 [INFO] EPISODE 1060, LOSS 0.11118336766958237
"2023-05-10 15:14:02,321 [INFO] EPISODE 1070, LOSS 0.258250892162323
"2023-05-10 15:14:02,452 [INFO] EPISODE 1080, LOSS 0.24807441234588623
"2023-05-10 15:14:02,590 [INFO] EPISODE 1090, LOSS 0.152778759598732
"2023-05-10 15:14:02,717 [INFO] EPISODE 1100, LOSS 0.22707104682922363
