"2023-05-07 19:28:09,900 [INFO] Reporter Initialized!
"2023-05-07 19:28:09,900 [INFO] Reporter LEVEL: info
"2023-05-07 19:28:10,264 [INFO] Loaded csv data is 0507_0621PM
"2023-05-07 19:28:13,415 [INFO] None
"2023-05-07 19:28:13,415 [INFO] Device(cuda) is working for train
"2023-05-07 19:28:13,415 [INFO] Train Started
"2023-05-07 19:29:26,611 [INFO] EPISODE 630, LOSS 879.1720581054688
"2023-05-07 19:29:27,740 [INFO] EPISODE 640, LOSS 3003.5615234375
"2023-05-07 19:29:28,900 [INFO] EPISODE 650, LOSS 1968.6488037109375
"2023-05-07 19:29:29,944 [INFO] EPISODE 660, LOSS 3818.88427734375
"2023-05-07 19:29:31,015 [INFO] EPISODE 670, LOSS 2785.479248046875
"2023-05-07 19:29:32,124 [INFO] EPISODE 680, LOSS 3661.70263671875
"2023-05-07 19:29:33,240 [INFO] EPISODE 690, LOSS 3385.5029296875
"2023-05-07 19:29:34,263 [INFO] EPISODE 700, LOSS 3180.149169921875
"2023-05-07 19:29:35,433 [INFO] EPISODE 710, LOSS 1835.3548583984375
"2023-05-07 19:29:36,544 [INFO] EPISODE 720, LOSS 2995.782958984375
"2023-05-07 19:29:37,644 [INFO] EPISODE 730, LOSS 3544.265380859375
"2023-05-07 19:29:38,644 [INFO] EPISODE 740, LOSS 2344.447998046875
"2023-05-07 19:29:39,803 [INFO] EPISODE 750, LOSS 848.4108276367188
"2023-05-07 19:29:40,991 [INFO] EPISODE 760, LOSS 4199.80517578125
"2023-05-07 19:29:42,114 [INFO] EPISODE 770, LOSS 2818.57177734375
"2023-05-07 19:29:43,264 [INFO] EPISODE 780, LOSS 2337.272216796875
"2023-05-07 19:29:44,360 [INFO] EPISODE 790, LOSS 3738.489013671875
"2023-05-07 19:29:45,462 [INFO] EPISODE 800, LOSS 2729.80810546875
"2023-05-07 19:29:46,571 [INFO] EPISODE 810, LOSS 1408.509521484375
"2023-05-07 19:29:47,641 [INFO] EPISODE 820, LOSS 2328.850341796875
"2023-05-07 19:29:48,815 [INFO] EPISODE 830, LOSS 13474.640625
"2023-05-07 19:29:49,973 [INFO] EPISODE 840, LOSS 3541.21484375
"2023-05-07 19:29:51,092 [INFO] EPISODE 850, LOSS 1646.14990234375
"2023-05-07 19:29:52,221 [INFO] EPISODE 860, LOSS 2270.447265625
"2023-05-07 19:29:53,336 [INFO] EPISODE 870, LOSS 1454.1201171875
"2023-05-07 19:29:54,400 [INFO] EPISODE 880, LOSS 3002.336669921875
"2023-05-07 19:29:55,485 [INFO] EPISODE 890, LOSS 2457.798828125
"2023-05-07 19:29:56,605 [INFO] EPISODE 900, LOSS 2083.9228515625
"2023-05-07 19:29:57,695 [INFO] EPISODE 910, LOSS 2476.854248046875
"2023-05-07 19:29:58,813 [INFO] EPISODE 920, LOSS 2097.5
"2023-05-07 19:29:59,916 [INFO] EPISODE 930, LOSS 1820.0081787109375
"2023-05-07 19:30:01,007 [INFO] EPISODE 940, LOSS 3346.76318359375
"2023-05-07 19:30:02,219 [INFO] EPISODE 950, LOSS 1361.20849609375
"2023-05-07 19:30:03,380 [INFO] EPISODE 960, LOSS 1678.260498046875
"2023-05-07 19:30:04,507 [INFO] EPISODE 970, LOSS 2594.543212890625
"2023-05-07 19:30:05,583 [INFO] EPISODE 980, LOSS 1788.64501953125
