"2023-05-04 16:10:22,522 [INFO] Reporter Initialized!
"2023-05-04 16:10:22,522 [INFO] Reporter LEVEL: info
"2023-05-04 16:10:23,954 [INFO] Loaded csv data is 0504_0300PM
"2023-05-04 16:10:25,172 [INFO] None
"2023-05-04 16:10:25,172 [INFO] Device(cuda) is working for train
"2023-05-04 16:10:25,172 [INFO] Train Started
"2023-05-04 16:10:25,186 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/0.onnx
"2023-05-04 16:10:25,186 [INFO] ===== Saved non-trained network
"2023-05-04 16:10:38,858 [INFO] EPISODE 450, LOSS 0.0038525487761944532
"2023-05-04 16:10:39,146 [INFO] EPISODE 460, LOSS 0.0019123591482639313
"2023-05-04 16:10:39,234 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/462.onnx
"2023-05-04 16:10:39,435 [INFO] EPISODE 470, LOSS 0.0009478249121457338
"2023-05-04 16:10:39,712 [INFO] EPISODE 480, LOSS 0.002276375889778137
"2023-05-04 16:10:40,034 [INFO] EPISODE 490, LOSS 0.004067206289619207
"2023-05-04 16:10:40,321 [INFO] EPISODE 500, LOSS 0.007769688032567501
"2023-05-04 16:10:40,602 [INFO] EPISODE 510, LOSS 0.001860736752860248
"2023-05-04 16:10:40,687 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/512.onnx
"2023-05-04 16:10:40,883 [INFO] EPISODE 520, LOSS 0.009164905175566673
"2023-05-04 16:10:41,199 [INFO] EPISODE 530, LOSS 0.0036104521714150906
"2023-05-04 16:10:41,483 [INFO] EPISODE 540, LOSS 0.007680686190724373
"2023-05-04 16:10:41,761 [INFO] EPISODE 550, LOSS 0.0035775601863861084
"2023-05-04 16:10:42,037 [INFO] EPISODE 560, LOSS 0.0019098776392638683
"2023-05-04 16:10:42,314 [INFO] EPISODE 570, LOSS 0.0031594065949320793
"2023-05-04 16:10:42,648 [INFO] EPISODE 580, LOSS 0.0019089095294475555
"2023-05-04 16:10:42,928 [INFO] EPISODE 590, LOSS 0.003015205729752779
"2023-05-04 16:10:43,228 [INFO] EPISODE 600, LOSS 0.0022513591684401035
"2023-05-04 16:10:43,515 [INFO] EPISODE 610, LOSS 0.0020734539721161127
"2023-05-04 16:10:43,792 [INFO] EPISODE 620, LOSS 0.01878587156534195
"2023-05-04 16:10:44,066 [INFO] EPISODE 630, LOSS 0.001116331317462027
"2023-05-04 16:10:44,397 [INFO] EPISODE 640, LOSS 0.00039663989446125925
"2023-05-04 16:10:44,695 [INFO] EPISODE 650, LOSS 0.0009119349415414035
"2023-05-04 16:10:44,971 [INFO] EPISODE 660, LOSS 0.0026409539859741926
"2023-05-04 16:10:45,254 [INFO] EPISODE 670, LOSS 0.004655627068132162
"2023-05-04 16:10:45,567 [INFO] EPISODE 680, LOSS 0.0012671779841184616
"2023-05-04 16:10:45,631 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/681.onnx
"2023-05-04 16:10:45,873 [INFO] EPISODE 690, LOSS 0.004591659642755985
"2023-05-04 16:10:46,149 [INFO] EPISODE 700, LOSS 0.0011969278566539288
"2023-05-04 16:10:46,307 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/705.onnx
"2023-05-04 16:10:46,471 [INFO] EPISODE 710, LOSS 0.015323057770729065
"2023-05-04 16:10:46,774 [INFO] EPISODE 720, LOSS 0.0014010401209816337
"2023-05-04 16:10:47,077 [INFO] EPISODE 730, LOSS 0.001064028707332909
"2023-05-04 16:10:47,357 [INFO] EPISODE 740, LOSS 0.0009577530436217785
"2023-05-04 16:10:47,710 [INFO] EPISODE 750, LOSS 0.003806627355515957
"2023-05-04 16:10:47,873 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/755.onnx
"2023-05-04 16:10:47,997 [INFO] EPISODE 760, LOSS 0.0007513746386393905
"2023-05-04 16:10:48,289 [INFO] EPISODE 770, LOSS 0.0094220582395792
"2023-05-04 16:10:48,611 [INFO] EPISODE 780, LOSS 0.001749327639117837
"2023-05-04 16:10:48,947 [INFO] EPISODE 790, LOSS 0.001489452552050352
"2023-05-04 16:10:49,233 [INFO] EPISODE 800, LOSS 0.0051314677111804485
"2023-05-04 16:10:49,510 [INFO] EPISODE 810, LOSS 0.0015339951496571302
"2023-05-04 16:10:49,806 [INFO] EPISODE 820, LOSS 0.0016770240617915988
"2023-05-04 16:10:50,078 [INFO] EPISODE 830, LOSS 0.001504124142229557
"2023-05-04 16:10:50,358 [INFO] EPISODE 840, LOSS 0.002126900479197502
"2023-05-04 16:10:50,662 [INFO] EPISODE 850, LOSS 0.002937935059890151
"2023-05-04 16:10:50,934 [INFO] EPISODE 860, LOSS 0.0006757827941328287
"2023-05-04 16:10:51,215 [INFO] EPISODE 870, LOSS 0.0010329072829335928
"2023-05-04 16:10:51,495 [INFO] EPISODE 880, LOSS 0.00033802035613916814
"2023-05-04 16:10:51,815 [INFO] EPISODE 890, LOSS 0.004007555544376373
"2023-05-04 16:10:52,139 [INFO] EPISODE 900, LOSS 0.0030452851206064224
"2023-05-04 16:10:52,465 [INFO] EPISODE 910, LOSS 0.000950577377807349
"2023-05-04 16:10:52,818 [INFO] EPISODE 920, LOSS 0.00024654026492498815
"2023-05-04 16:10:53,136 [INFO] EPISODE 930, LOSS 0.0012617497704923153
"2023-05-04 16:10:53,453 [INFO] EPISODE 940, LOSS 0.0004780853632837534
"2023-05-04 16:10:53,770 [INFO] EPISODE 950, LOSS 0.0009402541909366846
"2023-05-04 16:10:54,103 [INFO] EPISODE 960, LOSS 0.013256601989269257
"2023-05-04 16:10:54,422 [INFO] EPISODE 970, LOSS 0.002281447406858206
"2023-05-04 16:10:54,741 [INFO] EPISODE 980, LOSS 0.0003301840624772012
"2023-05-04 16:10:55,091 [INFO] EPISODE 990, LOSS 0.000376949057681486
"2023-05-04 16:10:55,213 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/993.onnx
"2023-05-04 16:10:55,423 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/1000.onnx
"2023-05-04 16:10:55,423 [INFO] EPISODE 1000, LOSS 0.0007303374586626887
"2023-05-04 16:10:55,739 [INFO] EPISODE 1010, LOSS 0.0007447274401783943
"2023-05-04 16:10:56,144 [INFO] EPISODE 1020, LOSS 0.0012491738889366388
"2023-05-04 16:10:56,460 [INFO] EPISODE 1030, LOSS 0.0008071443880908191
"2023-05-04 16:10:56,776 [INFO] EPISODE 1040, LOSS 0.0004464176017791033
"2023-05-04 16:10:57,125 [INFO] EPISODE 1050, LOSS 0.0006053829565644264
"2023-05-04 16:10:57,445 [INFO] EPISODE 1060, LOSS 0.0008027380681596696
"2023-05-04 16:10:57,652 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/1066.onnx
"2023-05-04 16:10:57,773 [INFO] EPISODE 1070, LOSS 0.0006443076999858022
"2023-05-04 16:10:58,111 [INFO] EPISODE 1080, LOSS 0.0004512218292802572
"2023-05-04 16:10:58,429 [INFO] EPISODE 1090, LOSS 0.0007556658238172531
"2023-05-04 16:10:58,747 [INFO] EPISODE 1100, LOSS 0.0004113724862691015
"2023-05-04 16:10:59,064 [INFO] EPISODE 1110, LOSS 0.0004951792070642114
"2023-05-04 16:10:59,396 [INFO] EPISODE 1120, LOSS 0.001072342274710536
"2023-05-04 16:10:59,710 [INFO] EPISODE 1130, LOSS 0.0008904710412025452
"2023-05-04 16:11:00,029 [INFO] EPISODE 1140, LOSS 0.001983597408980131
"2023-05-04 16:11:00,371 [INFO] EPISODE 1150, LOSS 0.0009063428151421249
"2023-05-04 16:11:00,688 [INFO] EPISODE 1160, LOSS 0.0007854598807170987
"2023-05-04 16:11:01,005 [INFO] EPISODE 1170, LOSS 0.0018973456462845206
"2023-05-04 16:11:01,378 [INFO] EPISODE 1180, LOSS 0.000449332466814667
"2023-05-04 16:11:01,695 [INFO] EPISODE 1190, LOSS 0.000686014536768198
"2023-05-04 16:11:02,015 [INFO] EPISODE 1200, LOSS 0.0006719547091051936
"2023-05-04 16:11:02,387 [INFO] EPISODE 1210, LOSS 0.00025369838112965226
"2023-05-04 16:11:02,702 [INFO] EPISODE 1220, LOSS 0.00033798624644987285
"2023-05-04 16:11:03,017 [INFO] EPISODE 1230, LOSS 0.0008558222907595336
"2023-05-04 16:11:03,333 [INFO] EPISODE 1240, LOSS 0.0003523050691001117
"2023-05-04 16:11:03,710 [INFO] EPISODE 1250, LOSS 0.0003249409783165902
"2023-05-04 16:11:04,031 [INFO] EPISODE 1260, LOSS 0.0007004925864748657
"2023-05-04 16:11:04,348 [INFO] EPISODE 1270, LOSS 0.002058444544672966
"2023-05-04 16:11:04,716 [INFO] EPISODE 1280, LOSS 0.00032141487463377416
"2023-05-04 16:11:05,033 [INFO] EPISODE 1290, LOSS 0.0002866056456696242
"2023-05-04 16:11:05,361 [INFO] EPISODE 1300, LOSS 0.005924186669290066
"2023-05-04 16:11:05,712 [INFO] EPISODE 1310, LOSS 0.00032588638714514673
"2023-05-04 16:11:06,027 [INFO] EPISODE 1320, LOSS 0.0003513944102451205
"2023-05-04 16:11:06,341 [INFO] EPISODE 1330, LOSS 0.0003063211916014552
"2023-05-04 16:11:06,685 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/1340.onnx
"2023-05-04 16:11:06,685 [INFO] EPISODE 1340, LOSS 8.60163927427493e-05
"2023-05-04 16:11:07,010 [INFO] EPISODE 1350, LOSS 0.0006625339156016707
"2023-05-04 16:11:07,330 [INFO] EPISODE 1360, LOSS 0.0003768680617213249
"2023-05-04 16:11:07,693 [INFO] EPISODE 1370, LOSS 0.000195779197383672
"2023-05-04 16:11:08,006 [INFO] EPISODE 1380, LOSS 0.0012241215445101261
"2023-05-04 16:11:08,295 [INFO] EPISODE 1390, LOSS 0.0003482340835034847
"2023-05-04 16:11:08,574 [INFO] EPISODE 1400, LOSS 0.0006398626137524843
"2023-05-04 16:11:08,891 [INFO] EPISODE 1410, LOSS 0.0002268748066853732
"2023-05-04 16:11:09,168 [INFO] EPISODE 1420, LOSS 0.0003938130976166576
"2023-05-04 16:11:09,443 [INFO] EPISODE 1430, LOSS 0.000643502629827708
"2023-05-04 16:11:09,680 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/1438.onnx
"2023-05-04 16:11:09,768 [INFO] EPISODE 1440, LOSS 0.0017069021705538034
