"2023-05-03 18:59:59,142 [INFO] Reporter Initialized!
"2023-05-03 18:59:59,142 [INFO] Reporter LEVEL: info
"2023-05-03 19:00:00,557 [INFO] Loaded csv data is 0503_0649PM
"2023-05-03 19:00:02,009 [INFO] None
"2023-05-03 19:00:08,622 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0659PMloss.png
"2023-05-03 19:00:08,861 [INFO] EPISODE 31, LOSS 0.031076541170477867
"2023-05-03 19:00:08,891 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0659PMloss.png
"2023-05-03 19:00:09,114 [INFO] EPISODE 32, LOSS 0.017827890813350677
"2023-05-03 19:00:09,143 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0659PMloss.png
"2023-05-03 19:00:09,362 [INFO] EPISODE 33, LOSS 0.024795910343527794
"2023-05-03 19:00:09,391 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0659PMloss.png
"2023-05-03 19:00:09,625 [INFO] EPISODE 34, LOSS 0.03154299408197403
"2023-05-03 19:00:09,655 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0659PMloss.png
"2023-05-03 19:00:09,853 [INFO] EPISODE 35, LOSS 0.073799729347229
"2023-05-03 19:00:09,884 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0659PMloss.png
"2023-05-03 19:00:10,044 [INFO] EPISODE 36, LOSS 0.017964862287044525
"2023-05-03 19:00:10,074 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0659PMloss.png
"2023-05-03 19:00:10,227 [INFO] EPISODE 37, LOSS 0.008945178240537643
"2023-05-03 19:00:10,257 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0659PMloss.png
"2023-05-03 19:00:10,412 [INFO] EPISODE 38, LOSS 0.08324969559907913
"2023-05-03 19:00:10,442 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0659PMloss.png
"2023-05-03 19:00:10,603 [INFO] EPISODE 39, LOSS 0.010202779434621334
"2023-05-03 19:00:10,634 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0659PMloss.png
"2023-05-03 19:00:10,778 [INFO] EPISODE 40, LOSS 0.012889724224805832
