"2023-05-03 14:48:37,338 [INFO] Reporter Initialized!
"2023-05-03 14:48:37,338 [INFO] Reporter LEVEL: info
"2023-05-03 14:48:38,774 [INFO] Loaded csv data is 0501_0133PM
"2023-05-03 14:48:40,262 [INFO] None
"2023-05-03 14:48:40,262 [INFO] Device(cuda) is working for train
"2023-05-03 14:48:40,262 [INFO] Train Started
"2023-05-03 14:48:40,292 [INFO] Saved non-trained network
"2023-05-03 14:48:40,292 [INFO] EPISODE 0, LOSS 24.92806053161621
"2023-05-03 14:48:40,466 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:49:27,602 [INFO] EPISODE 1, LOSS 0.000666784297209233
"2023-05-03 14:49:27,639 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:50:16,095 [INFO] EPISODE 2, LOSS 0.0018852291395887733
"2023-05-03 14:50:16,134 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:51:04,054 [INFO] EPISODE 3, LOSS 0.0021516019478440285
"2023-05-03 14:51:04,086 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:51:53,656 [INFO] EPISODE 4, LOSS 0.00010516884503886104
"2023-05-03 14:51:53,694 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:52:44,517 [INFO] EPISODE 5, LOSS 0.0005533419316634536
"2023-05-03 14:52:44,582 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:53:32,649 [INFO] EPISODE 6, LOSS 0.001580854644998908
"2023-05-03 14:53:32,681 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:54:20,265 [INFO] EPISODE 7, LOSS 0.0011508575407788157
"2023-05-03 14:54:20,296 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:55:10,543 [INFO] EPISODE 8, LOSS 0.0004433990688994527
"2023-05-03 14:55:10,574 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:55:59,706 [INFO] EPISODE 9, LOSS 0.00019319160492159426
"2023-05-03 14:55:59,740 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:56:52,851 [INFO] EPISODE 10, LOSS 0.0009619619231671095
"2023-05-03 14:56:52,882 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:57:43,721 [INFO] EPISODE 11, LOSS 0.00036239076871424913
"2023-05-03 14:57:43,752 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:58:33,271 [INFO] EPISODE 12, LOSS 0.0007055661990307271
"2023-05-03 14:58:33,306 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 14:59:22,971 [INFO] EPISODE 13, LOSS 0.00159942964091897
"2023-05-03 14:59:23,008 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:00:12,267 [INFO] EPISODE 14, LOSS 0.00021512116654776037
"2023-05-03 15:00:12,298 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:01:00,866 [INFO] EPISODE 15, LOSS 0.0024204826913774014
"2023-05-03 15:01:00,903 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:01:53,072 [INFO] EPISODE 16, LOSS 0.0002513804938644171
"2023-05-03 15:01:53,109 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:02:42,128 [INFO] EPISODE 17, LOSS 0.0004325187474023551
"2023-05-03 15:02:42,159 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:03:29,965 [INFO] EPISODE 18, LOSS 0.00010386202484369278
"2023-05-03 15:03:29,996 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:04:19,163 [INFO] EPISODE 19, LOSS 0.0019867857918143272
"2023-05-03 15:04:19,194 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:05:07,747 [INFO] EPISODE 20, LOSS 0.00037657757638953626
"2023-05-03 15:05:07,786 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:05:58,051 [INFO] EPISODE 21, LOSS 0.0002710901899263263
"2023-05-03 15:05:58,080 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:06:56,008 [INFO] EPISODE 22, LOSS 0.00016263476572930813
"2023-05-03 15:06:56,048 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:07:48,111 [INFO] EPISODE 23, LOSS 0.00034151336876675487
"2023-05-03 15:07:48,145 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:08:39,372 [INFO] EPISODE 24, LOSS 0.000658987439237535
"2023-05-03 15:08:39,457 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:09:32,425 [INFO] EPISODE 25, LOSS 0.00040398057899437845
"2023-05-03 15:09:32,456 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:10:23,110 [INFO] EPISODE 26, LOSS 0.0013988707214593887
"2023-05-03 15:10:23,143 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:11:13,866 [INFO] EPISODE 27, LOSS 0.0004745936021208763
"2023-05-03 15:11:13,897 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:12:05,497 [INFO] EPISODE 28, LOSS 4.312007513362914e-05
"2023-05-03 15:12:05,528 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:12:58,279 [INFO] EPISODE 29, LOSS 0.00034026068169623613
"2023-05-03 15:12:58,316 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:13:49,885 [INFO] EPISODE 30, LOSS 0.00017589119670446962
"2023-05-03 15:13:49,919 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:14:38,986 [INFO] EPISODE 31, LOSS 0.00028696024673990905
"2023-05-03 15:14:39,022 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:15:30,907 [INFO] EPISODE 32, LOSS 0.00012042951857438311
"2023-05-03 15:15:30,940 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:16:24,137 [INFO] EPISODE 33, LOSS 0.0004923741798847914
"2023-05-03 15:16:24,171 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:17:17,696 [INFO] EPISODE 34, LOSS 0.0002883881388697773
"2023-05-03 15:17:17,728 [INFO] LOSS FUNCTION PLOTTED at ./fig/0503_0248PMloss.png
"2023-05-03 15:18:08,572 [INFO] EPISODE 35, LOSS 0.0006425549509003758
